"id","group","fc","log10_exp","log10_IGAP","log10_eQTL"
"LTBR",1,1.12040226872059,1.37884723032452,4.8897470826466,3.05124481983173
"S100A4",1,1.60843527202412,4.63770355000872,4.60572347323218,0.889410289700751
"FGR",1,1.19384659835191,2.44440135768165,4.26344415283736,2.65423430688551
"CLIC1",1,1.17792948753823,1.78764223204962,8.10507502264046,1.43711261870612
"CORO7",2,-1.04212822282742,0.190194728559931,2.97510403989252,3.10573933555301
"LSP1",2,1.09797256581746,0.336639348967911,4.93218548883816,5.55299710153384
"DNM2",2,1.04128848569055,0.627652122624051,3.15633127702086,0.829444941478791
"FXYD5",2,1.10931157065419,1.03045156602284,2.89997426989214,1.51669804764183
"EMP3",1,1.19391949943192,2.35981081502873,4.14466259553046,0.759700417997287
"FCER1G",2,1.04797080460607,0.0043368760697324,2.97102229479122,1.20880075350112
"ALOX5",2,1.03066084538993,0,2.43901794441376,0
"TNFRSF1B",2,1.13530738240073,0.943501466773462,3.8843894883257,2.19470308384202
"PRKD3",1,1.16359148827861,1.7865516572577,4.33592240981493,1.77262755771036
"SLC15A4",2,-1.04155921185266,0.223171052991752,3.94615357314775,1.27984069659404
"SPI1",2,1.06254788610245,0.130789340488244,5.84163750790475,1.24154231138953
"IRF4",2,1.03694676996828,0.18496959645022,3.74641971043782,0
"NLRC5",1,1.15574224448938,1.71634434131674,4.04129280891271,0
"NFKBIA",1,1.17815410620907,2.94658435952725,4.29132420727346,0
"CD40",2,1.07450734173763,0.636215816088701,4.24328783983523,4.76396685288236
"SKAP2",1,-1.13498930066348,1.49315267919227,4.14092177525303,0.799696817018415
"TNFSF10",2,1.06123133422652,0.0696314441899328,3.73471037413917,2.23987921473543
"TNFRSF10C",1,1.22573130473971,1.4656685219886,4.50682087931748,0
"TNFRSF10A",1,1.20195510993457,2.08485420542539,4.50682087931748,0
"SLC15A3",1,1.1772349378456,1.87265948223138,12.2713216331491,0.969805214643249
"HSPA14",2,-1.10337394681307,1.17847389858595,2.96457026181545,1.53521248035406
"PRKCD",1,-1.17559419342303,1.87244914864596,4.03673174847377,2.19118157490788
"GPSM3",1,1.16123072171582,1.64637718816719,8.47159756204638,0.960585880823863
"PRDM1",1,1.12035645963914,1.57155015210972,4.13745123047521,2.28033731698195
"HERC3",2,-1.102199739166,0.730228833641433,3.68930668765664,1.70752240633222
"RP11-894J14.5",2,1,0,0,0
"SLC15A5",2,1.00254557288934,0,3.59243915051364,0
"PCP2",2,-1.02802015618285,0,3.03446905637714,0
"GPSM1",2,1.00824435173187,0,4.82333006733185,1.27860162447849
"NFAM1",1,1.15535916792302,1.51728981331967,4.37171326891049,0
"UBA52",1,-1.07387711631309,1.63055594086856,4.6976690713156,3.25243283726237
"NFATC2",1,1.13989012500722,1.68647008612306,4.33161408331,0
"SORL1",1,-1.09413013346783,1.82396172940342,10.3031196283172,1.92335955632966
"CELF2",1,-1.12225422933483,2.17791823614223,5.70952018666933,0
"VENTX",1,1.22174915866674,1.68661552445272,4.2548471049231,0
"RFT1",1,-1.0852972316354,1.41870984434942,4.03673174847377,1.5285615926107
"DOCK4",1,-1.13103236040802,1.38489136028083,4.43250310889578,1.56944123047724
