Category,C0,C1,C2,C3
MSBB_FP,85,40,40,129
MSBB_IFG,76,39,37,123
MSBB_PHG,71,31,34,108
MSBB_STG,77,39,39,119
ROSMAP_PFC_FPKM,165,67,219,187
ROSMAP_PFC,135,55,156,121
MSBB_AC,16,11,12,20
MSBB_AMYG,15,7,12,17
MSBB_CD,11,12,11,18
MSBB_FC,11,12,12,21
MSBB_FP,15,13,11,24
MSBB_HIPP,11,14,12,18
MSBB_IFG,11,15,8,19
MSBB_ITG,14,14,11,19
MSBB_MTG,14,13,11,20
MSBB_NAc,13,10,11,17
MSBB_OVC,13,14,12,14
MSBB_PCC,12,15,8,23
MSBB_PCG,5,13,12,19
MSBB_PFC,16,13,11,17
MSBB_PHG,15,13,9,23
MSBB_PT,9,12,11,20
MSBB_SPL,13,15,9,13
MSBB_STG,14,15,9,22
MSBB_TP,14,15,11,18
